split,prompt_tokens,response_tokens,instruction_type
train,1210,49,reasoning
train,351,1,write
train,11,138,write
train,56,297,write
train,17,2,other
train,174,33,translate
train,69,1,other
train,42,309,other
train,1,1,other
train,1045,17,summarize
train,1,197,other
train,162,16,reasoning
train,89,251,other
train,19,14,write
train,3,165,other
train,20,145,write
train,228,17,other
train,6,149,other
train,16,18,write
train,378,31,write
train,97,254,other
train,10,221,analyze
train,184,13,reasoning
train,147,30,translate
train,496,4,write
train,51,1,reasoning
train,21,33,summarize
train,8,104,analyze
train,24,30,other
train,45,19,reasoning
train,6,452,other
train,61,1,reasoning
train,1,110,other
train,918,111,other
train,127,1,other
train,358,44,reasoning
train,282,231,other
train,11,163,other
train,184,132,reasoning
train,81,447,other
train,276,747,other
train,184,15,other
train,362,2,other
train,16,160,other
train,59,251,other
train,107,1,reasoning
train,6,48,other
train,34,413,other
train,634,1,reasoning
train,339,75,write
train,21,49,other
train,45,21,reasoning
train,29,278,write
train,178,7,other
train,1,8,other
train,340,20,reasoning
train,15,367,write
train,7,226,other
train,1,8,other
train,651,190,write
train,540,789,other
train,662,1,reasoning
train,41,19,other
train,64,462,write
train,47,265,reasoning
train,20,8,write
train,15,4,classify
train,16,165,other
train,25,38,write
train,5,12,other
train,149,22,reasoning
train,5,209,other
train,630,21,write
train,85,137,other
train,49,18,analyze
train,11,284,other
train,1,2,other
train,123,24,other
train,108,136,other
train,23,31,other
train,49,17,other
train,40,33,other
train,316,23,reasoning
train,148,9,other
train,765,1,reasoning
train,84,1,translate
train,1,3,other
train,20,151,other
train,103,255,reasoning
train,308,31,reasoning
train,240,11,other
train,15,18,other
train,145,296,write
train,84,478,write
train,19,348,other
train,26,31,other
train,38,11,reasoning
train,56,201,analyze
train,45,43,translate
train,227,161,other
train,80,436,reasoning
train,282,226,write
train,125,7,write
train,110,328,write
train,3,16,other
train,10,299,write
train,104,33,translate
train,60,120,other
train,6,133,summarize
train,4,75,other
train,12,14,write
train,24,43,reasoning
train,21,124,reasoning
train,3,36,other
train,1,2,other
train,83,1,write
train,16,137,other
train,1,15,other
train,122,2,write
train,32,23,reasoning
train,242,7,other
train,17,291,other
train,29,287,write
train,32,7,other
train,71,1,write
train,6,121,other
train,294,1,reasoning
train,122,6,translate
train,24,7,write
train,1,12,other
train,139,12,other
train,20,4,write
train,11,208,other
train,1,1,other
train,889,2,classify
train,180,40,other
train,43,689,write
train,58,311,analyze
train,1020,1,reasoning
train,3,446,other
train,12,238,other
train,205,692,other
train,103,1,write
train,20,14,other
train,175,37,summarize
train,6,322,other
train,8,245,other
train,2492,7,reasoning
train,180,59,other
train,105,19,other
train,152,6,summarize
train,2,1,other
train,7,93,write
train,128,19,other
train,16,132,other
train,1,2,other
train,380,13,translate
train,180,43,other
train,140,43,reasoning
train,238,15,other
train,24,119,write
train,12,221,analyze
train,561,162,write
train,34,154,other
train,9,270,other
train,234,1,other
train,101,1,reasoning
train,102,1,write
train,37,312,other
train,192,180,reasoning
train,32,110,other
train,19,395,other
train,28,25,other
train,62,14,write
train,233,278,analyze
train,14,5,write
train,40,62,write
train,362,4,other
train,332,39,other
train,12,47,other
train,6,200,other
train,2,156,other
train,172,1,classify
train,1,11,other
train,25,12,write
train,11,425,write
train,543,240,reasoning
train,2,11,other
train,17,223,other
train,42,1,reasoning
train,26,22,other
train,200,1,reasoning
train,6,79,other
train,10,7,other
train,11,17,reasoning
train,158,105,classify
train,281,1,classify
train,25,13,reasoning
train,26,484,other
train,4,197,other
train,15,85,other
train,76,1,reasoning
train,49,33,other
train,23,24,write
train,156,29,reasoning
train,20,36,write
train,307,13,other
train,4,50,other
train,261,1,other
train,21,286,other
train,207,20,reasoning
train,115,1,classify
train,184,23,other
train,12,5,write
train,582,238,other
train,168,67,other
train,2644,9,analyze
train,58,13,analyze
train,141,43,classify
train,102,1,reasoning
train,206,9,other
train,9,5,write
train,16,146,other
train,36,22,other
train,13,147,analyze
train,22,7,other
train,20,4,other
train,29,323,other
train,250,26,reasoning
train,15,117,write
train,29,289,summarize
train,8,102,other
train,190,12,other
train,83,18,reasoning
train,30,198,other
train,25,4,write
train,19,20,other
train,75,169,other
train,17,167,other
train,77,510,analyze
train,19,1,other
train,176,13,reasoning
train,9,1021,other
train,341,35,reasoning
train,421,1,reasoning
train,118,125,reasoning
train,18,324,other
train,25,222,other
train,685,1,write
train,4,161,other
train,16,1,write
train,113,1,classify
train,5,213,other
train,355,4,write
train,73,222,other
train,20,208,classify
train,1160,7,analyze
train,113,1,reasoning
train,8,1916,other
train,315,43,reasoning
train,13,50,other
train,10,111,other
train,21,46,other
train,5,133,other
train,88,16,translate
train,2,394,other
train,100,29,write
train,122,23,reasoning
train,16,390,other
train,831,4,other
train,317,8,write
train,149,11,other
train,18,253,other
train,23,40,other
train,5,198,reasoning
train,308,29,translate
train,16,30,other
train,742,15,write
train,16,7,other
train,11,227,analyze
train,353,68,translate
train,20,545,other
train,15,21,write
train,670,358,write
train,150,11,write
train,12,1,other
train,34,16,other
train,884,17,summarize
train,16,13,other
train,18,221,reasoning
train,177,19,other
train,286,3,translate
train,40,15,analyze
train,127,116,other
train,14,59,other
train,35,380,write
train,10,295,write
train,21,90,write
train,9,94,other
train,289,4,write
train,37,11,analyze
train,343,22,reasoning
train,132,98,analyze
train,45,323,write
train,16,21,other
train,110,39,write
train,143,1,other
train,7,152,other
train,9,369,analyze
train,6,159,other
train,50,2,other
train,68,361,analyze
train,218,11,reasoning
train,1,22,other
train,4,281,other
train,1,11,other
train,279,1,reasoning
train,326,41,reasoning
train,214,2,other
train,36,190,other
train,2,7,other
train,337,1,reasoning
train,12,407,analyze
train,802,2,other
train,238,19,analyze
train,461,18,classify
train,232,19,other
train,12,11,other
train,11,138,write
train,29,52,analyze
train,16,401,write
train,156,18,reasoning
train,20,139,other
train,6,297,other
train,27,30,other
train,20,26,classify
train,90,41,other
train,433,56,reasoning
train,618,10,write
train,336,15,translate
train,31,499,write
train,14,12,other
train,7,132,other
train,22,7,write
train,94,200,write
train,8,245,other
train,52,496,other
train,308,15,reasoning
train,187,16,other
train,2108,31,classify
train,259,375,write
train,637,10,write
train,98,111,reasoning
train,15,104,other
train,48,190,write
train,42,7,other
train,27,32,other
train,10,36,other
train,350,48,other
train,1187,1,write
train,966,8,write
train,1,11,other
train,84,79,write
train,269,30,reasoning
train,48,22,summarize
train,20,332,reasoning
train,163,222,write
train,29,408,other
train,138,2,reasoning
train,55,114,other
train,2,234,other
train,3,145,other
train,43,27,other
train,26,1,other
train,27,188,write
train,13,118,other
train,8,181,other
train,16,84,write
train,70,1,reasoning
train,20,284,write
train,4,315,other
train,14,73,write
train,72,126,write
train,11,222,write
train,41,20,write
train,3,37,other
train,352,4,other
train,679,32,other
train,18,15,write
train,263,24,other
train,12,246,other
train,17,48,write
train,266,48,translate
train,44,87,write
train,17,31,other
train,17,152,reasoning
train,189,2,reasoning
train,161,150,reasoning
train,8,60,other
train,22,8,write
train,20,29,write
train,476,2,reasoning
train,22,35,write
train,157,27,translate
train,1595,13,reasoning
train,26,21,reasoning
train,202,3,translate
train,1,1,other
train,39,27,other
train,20,6,write
train,18,63,other
train,61,116,other
train,9,220,other
train,219,235,reasoning
train,6,250,other
train,67,27,other
train,55,63,other
train,24,6,other
train,16,274,write
train,227,27,reasoning
train,43,23,other
train,379,2,reasoning
train,60,295,other
train,35,182,analyze
train,17,7,classify
train,201,59,reasoning
train,22,89,other
train,4,138,other
train,11,269,analyze
train,21,60,reasoning
train,2,218,other
train,65,79,other
train,26,55,write
train,10,165,write
train,14,8,other
train,439,1,other
train,5,256,other
train,146,37,translate
train,634,54,other
train,6,331,write
train,218,22,other
train,21,151,other
train,13,204,reasoning
train,272,1,reasoning
train,1800,72,classify
train,3,256,other
train,2821,16,analyze
train,81,275,analyze
train,261,477,analyze
train,10,75,other
train,21,270,write
train,263,110,reasoning
train,1193,1,reasoning
train,37,355,write
train,1,241,other
train,19,13,reasoning
train,10,33,reasoning
train,660,56,analyze
train,24,88,translate
train,57,381,reasoning
train,9,54,other
train,26,8,analyze
train,20,613,other
train,348,42,write
train,11,176,other
train,156,1,other
train,18,2,other
train,28,47,other
train,196,63,write
train,352,26,reasoning
train,167,42,other
train,15,178,reasoning
train,16,226,other
train,9,81,other
train,1,37,other
train,2,94,other
train,601,52,other
train,178,37,other
train,37,331,write
train,4,171,write
train,24,156,write
train,187,13,reasoning
train,44,20,reasoning
train,178,33,other
train,1832,149,other
train,37,179,other
train,11,10,write
train,1,91,other
train,210,1,translate
train,20,289,other
train,86,17,translate
train,21,374,other
train,650,1,reasoning
train,795,363,other
train,14,71,other
train,23,19,other
train,1962,38,summarize
train,15,268,other
train,5,2,other
train,32,10,other
train,33,273,other
train,14,44,write
train,261,2,reasoning
train,31,266,other
train,56,341,other
train,140,78,reasoning
train,188,39,other
train,1,3,other
train,32,55,other
train,36,52,other
train,46,16,other
train,12,329,other
train,14,105,other
train,39,135,reasoning
train,10,155,other
train,289,19,other
train,18,269,other
train,10,163,other
train,1,196,other
train,123,234,write
train,5,205,other
train,17,9,classify
train,64,175,classify
train,8,169,other
train,267,30,reasoning
train,95,7,translate
train,338,39,reasoning
train,16,11,write
train,11,254,other
train,59,1,reasoning
train,175,8,summarize
train,14,17,write
train,23,55,other
train,25,390,other
train,19,18,write
train,374,22,translate
train,479,4,summarize
train,57,2,write
train,23,14,write
train,1,80,other
train,2386,12,translate
train,106,12,translate
train,46,166,other
train,140,9,summarize
train,25,23,write
train,45,22,other
train,64,235,reasoning
train,196,56,classify
train,13,132,other
train,7,209,other
train,167,34,other
train,26,450,other
train,67,609,reasoning
train,20,9,write
train,31,69,write
train,1152,113,write
train,10,126,write
train,261,10,other
train,21,10,other
train,317,5,other
train,2,200,other
train,80,380,classify
train,8,10,other
train,16,284,reasoning
train,3,6,other
train,37,67,other
train,21,46,other
train,340,205,other
train,121,206,other
train,400,1,other
train,49,87,analyze
train,13,48,other
train,425,154,reasoning
train,10,4,write
train,67,106,classify
train,11,201,other
train,80,74,other
train,9,53,other
train,39,204,other
train,164,581,analyze
train,102,70,other
train,94,44,reasoning
train,6,208,other
train,395,16,reasoning
train,273,31,other
train,9,237,other
train,25,221,write
train,47,134,write
train,13,184,write
train,8,23,other
train,13,391,other
train,2689,23,summarize
train,1,4,other
train,61,2,write
train,409,69,reasoning
train,219,18,other
train,129,35,translate
train,37,1,reasoning
train,150,36,translate
train,92,1,classify
train,264,31,translate
train,7,286,other
train,28,31,other
train,22,19,other
train,16,35,write
train,48,266,other
train,128,7,write
train,1,35,other
train,84,281,other
train,355,59,reasoning
train,13,157,reasoning
train,142,47,other
train,20,77,other
train,13,19,other
train,14,221,other
train,15,57,other
train,15,164,other
train,17,16,reasoning
train,222,2,classify
train,9,162,other
train,394,103,analyze
train,1,210,other
train,232,44,reasoning
train,182,14,reasoning
train,115,367,analyze
train,20,15,translate
train,15,155,other
train,13,266,other
train,10,247,other
train,26,467,write
train,1,23,other
train,13,273,other
train,8,548,write
train,14,156,other
train,193,159,summarize
train,21,33,write
train,80,238,other
train,5,386,other
train,307,2,other
train,73,1,translate
train,111,29,other
train,32,25,other
train,2,263,other
train,1,207,other
train,42,253,other
train,13,121,other
train,192,20,write
train,4,224,other
train,83,47,reasoning
train,81,66,write
train,328,55,reasoning
train,433,1,reasoning
train,9,287,other
train,13,5,other
train,26,16,write
train,14,253,other
train,450,47,analyze
train,29,79,translate
train,8,405,other
train,2,55,other
train,102,26,translate
train,355,28,reasoning
train,1,3,other
train,33,18,write
train,318,45,reasoning
train,274,21,reasoning
train,12,202,other
train,23,59,write
train,24,33,other
train,1,2,other
train,187,1,other
train,51,524,other
train,125,63,other
train,1,1,other
train,103,1,reasoning
train,25,259,other
train,14,113,other
train,1,4,other
train,11,209,other
train,16,221,write
train,586,54,reasoning
train,102,55,summarize
train,108,1,reasoning
train,15,91,other
train,136,26,translate
train,75,23,translate
train,10,160,other
train,11,166,other
train,76,383,analyze
train,2,87,other
train,10,39,other
train,60,238,summarize
train,16,15,other
train,16,352,other
train,1741,211,summarize
train,1,19,other
train,7,118,other
train,11,5,other
train,155,46,reasoning
train,74,198,write
train,17,7,other
train,25,343,other
train,108,180,classify
train,220,2,write
train,85,260,other
train,1,14,other
train,9,212,write
train,233,43,other
train,80,140,reasoning
train,197,1,classify
train,7,215,other
train,108,2,reasoning
train,1,5,other
train,9,127,other
train,20,168,reasoning
train,111,56,other
train,36,19,other
train,1,1,other
train,51,9,write
train,20,3,other
train,55,255,other
train,42,145,other
train,102,59,other
train,309,1,other
train,62,58,other
train,31,38,other
train,153,187,classify
train,1763,24,other
train,252,29,other
train,235,15,translate
train,9,28,other
train,18,1,write
train,11,126,write
train,1,118,other
train,63,84,other
train,89,199,other
train,38,58,reasoning
train,2,294,other
train,13,273,write
train,34,32,write
train,235,51,other
train,14,194,analyze
train,109,2,reasoning
train,221,24,reasoning
train,114,191,other
train,93,329,write
train,5,94,other
train,45,314,write
train,57,37,reasoning
train,47,300,reasoning
train,326,20,reasoning
train,26,182,reasoning
train,13,12,write
train,8,23,write
train,330,1,reasoning
train,13,26,other
train,12,37,other
train,27,110,other
train,28,509,other
train,55,20,other
train,26,349,other
train,3,48,other
train,6,311,reasoning
train,366,17,reasoning
train,116,289,other
train,314,42,other
train,17,217,reasoning
train,577,194,reasoning
train,20,15,other
train,118,161,reasoning
train,26,514,other
train,1,18,other
train,1,145,other
train,201,35,reasoning
train,1,16,other
train,9,182,other
train,314,19,translate
train,23,15,other
train,26,447,other
train,89,249,other
train,1,286,other
train,8,262,write
train,443,82,analyze
train,59,6,other
train,3,191,reasoning
train,44,289,write
train,47,18,write
train,94,243,other
train,390,2,other
train,1,22,other
train,42,375,analyze
train,10,190,other
train,21,37,other
train,95,20,summarize
train,59,21,translate
train,18,10,write
train,21,65,other
train,133,8,other
train,327,2,write
train,1,57,other
train,7,618,other
train,1,26,other
train,186,22,translate
train,8,124,other
train,92,361,other
train,2208,8,translate
train,7,10,write
train,21,1,other
train,102,21,other
train,2149,25,summarize
train,22,102,write
train,332,16,reasoning
train,24,134,other
train,32,11,other
train,8,154,other
train,32,138,reasoning
train,318,3,reasoning
train,2,4,other
train,22,209,write
train,11,109,write
train,11,211,other
train,24,28,other
train,20,13,write
train,354,1,write
train,15,90,reasoning
train,26,38,other
train,2303,103,write
train,30,17,other
train,212,8,write
train,19,320,write
train,2551,11,write
train,146,220,reasoning
train,375,27,reasoning
train,22,119,write
train,17,680,write
train,137,8,summarize
train,312,1,other
train,105,318,other
train,184,1,write
train,243,387,reasoning
train,23,51,other
train,194,16,other
train,1,108,other
train,645,127,write
train,42,6,write
train,24,129,other
train,3,9,other
train,20,313,write
train,228,31,translate
train,159,686,write
train,89,1,write
train,31,23,analyze
train,194,13,reasoning
train,3,111,other
train,19,20,reasoning
train,52,6,other
train,350,13,reasoning
train,248,182,other
train,39,370,other
train,13,96,other
train,13,49,other
train,50,2,other
train,35,101,other
train,1,1,other
train,43,106,other
train,1,4,other
train,93,5,translate
train,35,5,write
train,16,138,write
train,19,12,write
train,16,287,other
train,106,201,other
train,266,15,classify
train,7,366,other
train,256,17,translate
train,121,218,write
train,1,1,other
train,1,20,other
train,5,112,other
train,320,6,summarize
train,25,142,reasoning
train,14,388,analyze
train,43,21,other
train,55,363,other
train,13,5,write
train,16,48,write
train,10,186,other
train,53,161,translate
train,1,2,other
train,622,1,reasoning
train,1,176,other
train,192,59,translate
train,57,15,reasoning
train,444,73,reasoning
train,22,229,write
train,55,229,other
train,11,16,write
train,39,102,reasoning
train,182,2,other
train,7,7,other
train,12,105,translate
train,139,1,other
train,836,122,write
train,147,36,analyze
train,308,19,reasoning
train,112,4,other
train,33,224,other
train,349,42,reasoning
train,64,45,other
train,76,203,other
train,228,12,summarize
train,1218,11,reasoning
train,8,1,other
train,13,27,write
train,573,625,write
train,20,281,other
train,3,51,other
train,39,1,reasoning
train,5,85,other
train,54,88,write
train,20,184,other
train,22,189,reasoning
train,186,69,other
train,355,4,reasoning
train,2,3,other
train,317,32,translate
train,41,31,other
train,3,3,other
train,12,184,other
train,28,19,write
train,8,232,write
train,173,14,other
train,1,1,other
train,152,13,reasoning
train,15,1,other
train,28,205,reasoning
train,134,561,classify
train,719,19,summarize
train,361,35,reasoning
train,10,98,other
train,15,55,other
train,10,1,other
train,33,143,reasoning
train,21,644,other
train,827,1,write
train,199,1,other
train,15,146,write
train,108,209,reasoning
train,12,69,other
train,48,229,reasoning
train,8,12,write
train,237,1,other
train,63,200,reasoning
train,7,175,other
train,340,22,reasoning
train,1,59,other
train,31,24,other
train,24,13,other
train,309,1,reasoning
train,8,201,other
train,350,129,summarize
train,2,39,other
train,1,309,other
train,14,18,other
train,105,273,other
train,39,229,write
train,19,415,reasoning
train,92,466,analyze
train,1030,12,summarize
train,19,4,write
train,374,1,reasoning
train,124,403,analyze
train,4,18,reasoning
train,36,356,other
train,1,1,other
train,139,29,other
train,28,22,other
train,3,1,write
train,320,2,reasoning
train,6,283,other
train,15,188,classify
train,172,1,other
train,1,332,other
train,203,110,write
train,106,1,other
train,86,191,reasoning
train,9,184,other
train,254,13,reasoning
train,1020,54,reasoning
train,4,94,other
train,2432,8,translate
train,34,13,analyze
train,10,58,other
train,9,177,other
train,149,1,other
train,6,137,other
train,303,41,reasoning
train,7,188,write
train,13,374,other
train,53,172,analyze
train,394,9,write
train,230,37,translate
train,55,212,other
train,32,47,other
train,321,2,write
train,21,1,write
train,287,46,reasoning
train,426,1,other
train,13,14,other
train,38,214,write
train,17,26,other
train,5,54,other
train,13,216,other
train,35,30,other
train,52,1,reasoning
train,322,205,other
train,92,160,write
train,116,2,other
train,1,13,other
train,1,198,other
train,589,135,other
train,36,158,other
train,40,10,other
train,17,304,other
train,112,44,reasoning
train,13,5,other
train,32,31,other
train,56,24,other
train,36,414,write
train,12,291,other
train,1,50,other
train,19,79,other
train,547,2,reasoning
train,1831,58,write
train,18,75,other
train,13,411,other
train,214,1,reasoning
train,1973,4,summarize
train,46,17,other
train,31,154,write
train,72,19,reasoning
train,8,341,analyze
train,3,154,other
train,125,16,other
train,8,171,analyze
train,368,1,reasoning
train,13,269,other
train,27,52,other
train,13,339,write
train,377,46,reasoning
train,18,308,other
train,411,1,reasoning
train,14,12,other
train,475,57,write
train,14,378,other
train,21,54,other
train,130,29,other
train,119,20,write
train,99,5,translate
train,21,131,other
train,10,43,other
train,114,33,reasoning
train,1,5,other
train,14,39,other
train,14,247,other
train,411,3,reasoning
train,112,249,other
train,104,1,other
train,194,368,analyze
train,8,489,write
train,28,32,translate
train,130,38,reasoning
train,66,166,other
train,229,21,reasoning
train,10,92,other
train,75,245,other
train,457,153,reasoning
train,21,11,write
train,12,508,other
train,117,9,reasoning
train,119,389,analyze
train,58,209,other
train,211,50,write
train,20,156,other
train,10,29,other
train,10,37,write
train,202,25,reasoning
train,14,210,other
train,52,384,analyze
train,13,367,other
train,81,119,analyze
train,85,288,write
train,6,125,write
train,1201,1,write
train,4,18,other
train,34,312,other
train,28,130,reasoning
train,142,22,reasoning
train,141,1,other
train,12,98,other
train,210,25,translate
train,278,1,classify
train,7,153,other
train,7,270,other
train,1,7,other
train,25,150,write
train,17,241,write
train,18,59,other
train,13,31,write
train,4,98,other
train,1,2,other
train,165,9,other
train,71,1023,summarize
train,20,5,other
train,30,45,other
train,1,7,other
train,368,35,reasoning
train,13,52,other
train,6,136,other
train,7,293,other
train,0,246,other
train,15,184,write
train,70,266,other
train,98,260,other
train,70,263,other
train,144,35,other
train,116,82,reasoning
train,192,344,analyze
train,113,1,other
train,1,181,other
train,1,12,other
train,395,26,write
train,136,150,other
train,235,1,reasoning
train,36,33,reasoning
train,83,14,other
train,12,60,other
train,128,7,write
train,120,476,write
train,10,121,other
train,4,12,write
train,37,19,other
train,45,63,other
train,133,22,other
train,41,19,summarize
train,27,271,other
train,177,15,reasoning
train,13,63,other
train,366,37,reasoning
train,99,340,write
train,36,191,other
train,10,103,other
train,23,50,write
train,249,17,other
train,196,254,summarize
train,11,126,other
train,316,29,reasoning
train,403,164,write
train,86,1,other
train,559,160,write
train,1,250,other
train,24,207,other
train,172,24,reasoning
train,190,34,translate
train,13,33,other
train,3,12,other
train,602,591,write
train,1,6,other
train,103,15,write
train,144,1,reasoning
train,7,140,other
train,2546,50,translate
train,5,286,other
train,18,284,other
train,392,24,reasoning
train,29,380,other
train,13,284,other
train,12,35,other
train,372,58,other
train,111,18,translate
train,414,3,reasoning
train,78,457,analyze
train,3,26,other
train,37,190,write
train,18,214,other
train,13,258,other
train,11,22,other
train,2,4,other
train,35,3,other
train,370,22,other
train,778,56,other
train,10,291,other
train,22,347,write
train,1,131,other
train,26,97,write
train,15,6,write
train,18,7,write
train,35,339,write
train,38,218,write
train,719,15,summarize
train,34,154,other
train,3,199,other
train,351,3,write
train,15,17,other
train,17,12,other
train,10,21,other
train,6,279,analyze
train,25,34,reasoning
train,30,20,write
train,2,425,other
train,259,8,other
train,71,3,translate
train,383,51,reasoning
train,19,90,other
train,72,108,other
train,193,20,reasoning
train,97,7,other
train,8,208,write
train,44,23,other
train,5,24,other
train,231,12,reasoning
train,36,225,other
train,155,12,write
train,26,88,other
train,92,135,write
train,11,10,other
train,2,1,other
train,15,10,write
train,14,115,other
train,95,23,write
train,14,219,reasoning
train,1,8,other
train,115,238,summarize
train,16,181,other
train,581,1,reasoning
train,133,434,write
train,11,68,other
train,1,102,other
train,29,36,other
train,12,219,reasoning
train,166,2,other
train,119,2,reasoning
train,4,187,other
train,38,323,other
train,54,19,other
train,20,20,write
train,52,43,other
train,15,40,other
train,11,232,other
train,12,220,other
train,5,43,other
train,225,235,write
train,18,11,write
train,12,250,other
train,7,215,other
train,148,1,reasoning
train,20,154,other
train,15,263,other
train,13,96,write
train,349,50,other
train,1145,9,reasoning
train,109,179,reasoning
train,184,384,other
train,177,20,write
train,7,154,other
train,6,123,other
train,226,13,reasoning
train,86,335,other
train,217,12,reasoning
train,1287,1,reasoning
train,8,239,write
train,19,94,other
train,8,108,other
train,1,94,other
train,47,24,write
train,10,22,other
train,193,2,write
train,684,75,reasoning
train,1017,2,reasoning
train,9,372,other
train,10,121,other
train,76,93,write
train,521,1,other
train,34,311,other
train,201,98,write
train,12,213,other
train,728,42,write
train,9,237,write
train,12,158,other
train,15,298,other
train,21,259,other
train,102,1,reasoning
train,11,183,analyze
train,37,132,reasoning
train,1084,1,reasoning
train,102,350,write
train,359,1,reasoning
train,23,47,write
train,169,32,translate
train,15,556,write
train,38,7,reasoning
train,272,3,write
train,13,299,other
train,145,39,other
train,3,45,other
train,9,424,other
train,219,17,other
train,25,21,other
train,38,23,analyze
train,76,60,other
train,150,35,write
train,22,25,write
train,348,41,reasoning
train,32,347,reasoning
train,323,4,write
train,2,239,other
train,297,19,reasoning
train,11,9,other
train,225,154,write
train,9,5,write
train,251,13,other
train,47,383,reasoning
train,35,408,write
train,13,156,other
train,335,33,reasoning
train,22,75,translate
train,31,58,other
train,128,53,reasoning
train,40,76,other
train,81,13,translate
train,18,30,other
train,297,35,reasoning
train,3,4,other
train,160,30,analyze
train,13,14,other
train,227,7,reasoning
train,1350,9,summarize
train,399,69,reasoning
train,32,152,other
train,183,30,translate
train,151,2,reasoning
train,106,126,reasoning
train,44,5,write
train,77,3,other
train,1,8,other
train,1154,8,reasoning
train,76,225,other
train,15,183,write
train,14,15,other
train,14,13,write
train,135,393,write
train,7,70,other
train,84,1,other
train,42,112,other
train,43,312,other
train,14,358,write
train,8,337,other
train,16,356,other
train,553,30,reasoning
train,30,473,other
train,298,1,reasoning
train,26,137,reasoning
train,189,31,reasoning
train,570,252,write
train,20,11,other
train,37,16,analyze
train,10,102,other
train,1,10,other
train,51,234,other
train,30,77,reasoning
train,10,23,other
train,27,24,other
train,63,156,reasoning
train,73,446,other
train,46,23,other
train,98,1,write
train,36,29,other
train,709,7,write
train,3,152,other
train,26,22,other
train,27,11,other
train,998,183,summarize
train,286,44,reasoning
train,186,9,summarize
train,4,10,other
train,9,7,reasoning
train,21,277,reasoning
train,145,2,translate
train,10,66,other
train,46,27,other
train,449,226,write
train,1,75,other
train,21,330,other
train,16,23,other
train,140,118,reasoning
train,125,279,write
train,16,44,write
train,22,453,other
train,391,24,reasoning
train,60,14,other
train,10,73,other
train,358,16,reasoning
train,88,1,other
train,38,52,other
train,365,26,other
train,976,36,reasoning
train,131,38,reasoning
train,67,294,write
train,1,7,other
train,1,166,other
train,15,100,other
train,17,2,other
train,134,2,write
train,180,266,other
train,109,98,other
train,70,1461,other
train,32,253,reasoning
train,162,20,other
train,420,2,reasoning
train,385,11,other
train,23,39,other
train,43,236,other
train,206,254,other
train,19,71,reasoning
train,81,32,analyze
train,4,145,other
train,9,140,other
train,421,30,other
train,33,76,other
train,41,1,other
train,31,2,other
train,8,93,write
train,6,59,other
train,327,52,translate
train,6,156,other
train,14,141,other
train,1,8,other
train,90,16,translate
train,13,37,write
train,78,10,other
train,45,127,other
train,367,37,reasoning
train,78,38,other
train,57,385,reasoning
train,7,5,other
train,26,39,write
train,1033,33,reasoning
train,71,445,analyze
train,27,368,other
train,434,82,analyze
train,17,143,other
train,2,55,other
train,313,133,analyze
train,4,40,other
train,10,242,other
train,27,60,reasoning
train,144,16,translate
train,12,284,other
train,351,2,reasoning
train,13,236,other
train,28,37,other
train,78,101,write
train,23,325,analyze
train,90,9,other
train,9,210,other
train,144,1,other
train,363,23,reasoning
train,49,18,classify
train,6,243,other
train,43,15,other
